code,name,duration_years,program_type
MWM07,Master of Science with Education,2,Postgraduate
MWM06,Master of Business Administration,2,Postgraduate
MWM02,Master of Education in Assessment and Evaluation,2,Postgraduate
MWM02W,Master of Education in Assessment and Evaluation -Weekend,2,Postgraduate
MWM03,Master of Education in Curriculum and Instruction,2,Postgraduate
MWM03W,Master of Education in Curriculum and Instruction -Weekend,2,Postgraduate
MWM04,Master of Education in Educational Planning and Administration,2,Postgraduate
MWM04W,Master of Education in Educational Planning and Administration- Weekend,2,Postgraduate
MWPH01,Doctor of Philosophy in Education,3,Postgraduate
MW010,Bachelor of Science in Chemistry,3,Undergraduate
MW009,Bachelor of Science in Computer Science,3,Undergraduate
MW006,Bachelor of Science in Mathematics and Statistics,3,Undergraduate
MW002,Bachelor Science with Education,3,Undergraduate
MW011,Bachelor of Science in Applied Biology,3,Undergraduate
MW014,Bachelor of Accounting and Finance,3,Undergraduate
MW013,Bachelor of Procurement and Supply Chain Management,3,Undergraduate
MW008,Bachelor of Arts in Project Planning and Management,3,Undergraduate
MW003,Bachelor of Arts in Business Administration Management,3,Undergraduate
MW015,Bachelor of Arts in Social Work and Human Rights,3,Undergraduate
MW012,Bachelor of Laws,3,Undergraduate
MW005,Bachelor of Arts in Sociology and Social Work,3,Undergraduate
MW004,Bachelor of Arts in Geography and Environmental Studies,3,Undergraduate
MW001,Bachelor of Arts with Education,3,Undergraduate
DIP004,Diploma in Law,2,Non-Degree
CERT004,Certificate in Law,1,Non-Degree
DIP008,Ordinary Diploma in Procurement and Supply,2,Non-Degree
DIP002,Ordinary Diploma in Business Administration,2,Non-Degree
CERT008,Basic Technician Certificate in Procurement and Supply,1,Non-Degree
CERT003,Basic Technician Certificate in Business Administration,1,Non-Degree
DIP009,Ordinary Diploma in Social Work,2,Non-Degree
CERT013,Basic Technician Certificate in Social Work,1,Non-Degree
